NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
186 114 0 105 0.3 0.3 0 91
174 126 0 110 0.3 0.3 0 91
183 117 0 115 0.3 0.3 0 91
177 123 0 120 0.3 0.3 0 91
184 116 0 125 0.3 0.3 0 91
168 132 0 130 0.3 0.3 0 91
175 125 0 135 0.3 0.3 0 91
184 116 0 140 0.3 0.3 0 91
197 103 0 145 0.3 0.3 0 91
300 0 0 0 0.3 0.3 0 96
192 108 0 5 0.3 0.3 0 96
195 105 0 10 0.3 0.3 0 96
190 110 0 15 0.3 0.3 0 96
183 117 0 20 0.3 0.3 0 96
180 120 0 25 0.3 0.3 0 96
182 118 0 30 0.3 0.3 0 96
176 124 0 35 0.3 0.3 0 96
178 122 0 40 0.3 0.3 0 96
183 117 0 45 0.3 0.3 0 96
173 127 0 50 0.3 0.3 0 96
182 118 0 55 0.3 0.3 0 96
182 118 0 60 0.3 0.3 0 96
197 103 0 65 0.3 0.3 0 96
179 121 0 70 0.3 0.3 0 96
180 120 0 75 0.3 0.3 0 96
181 119 0 80 0.3 0.3 0 96
167 133 0 85 0.3 0.3 0 96
178 122 0 90 0.3 0.3 0 96
182 118 0 95 0.3 0.3 0 96
189 111 0 100 0.3 0.3 0 96
165 135 0 105 0.3 0.3 0 96
188 112 0 110 0.3 0.3 0 96
195 105 0 115 0.3 0.3 0 96
202 98 0 120 0.3 0.3 0 96
196 104 0 125 0.3 0.3 0 96
213 87 0 130 0.3 0.3 0 96
174 126 0 135 0.3 0.3 0 96
174 126 0 140 0.3 0.3 0 96
179 121 0 145 0.3 0.3 0 96
